CustomerDetail,Comment,CommentClass,ProductID,Comment_en,CommentClass_en,labels,tokens,clean_comment
**** ****|25 Ağustos 2019|LAV satıcısından alındı.,Paketleme güzeldi tek tek sarılmıştı kırık çizik yoktu 👍 Uzun olan bardakların dip kısmı yamuk biraz entersan geldi 🤔 en kucuk boy olanlar magnolia v.b tatli yapmaya uygun görünüyor deniyeceğim 😄,['iyipaketleme'],28,Packaging was nice one by one hugged broken scratch there was no fracture scratches 👍 The bottom of the cups came a little trapezoid a little entersan 🤔 The most small -sized ones Magnolia etc.,['good -up'],['good -up'],"['packaging', 'nice', 'one', 'one', 'hugged', 'broken', 'scratch', 'fracture', 'scratch', 'bottom', 'cup', 'came', 'little', 'trapezoid', 'little', 'entersan', 'small', 'sized', 'one', 'magnolia', 'etc']",packaging nice one one hugged broken scratch fracture scratch bottom cup came little trapezoid little entersan small sized one magnolia etc
**** ****|2 Mart 2020|LAV satıcısından alındı.,"Küçük olan şerbet ya da kahve yanı için, orta boyu su bardağı olarak büyük olanlar da meşrubat bardağı olarak ideal bence çok beğendim. Paketlemesi de gayet iyiydi.",['iyipaketleme'],28,"For the small sherbet or coffee as well as the mid -sized cup of water, I think the ideal as the soft drink cup. The packaging was also fine.",['good -up'],['good -up'],"['small', 'sherbet', 'coffee', 'well', 'mid', 'sized', 'cup', 'water', 'think', 'ideal', 'soft', 'drink', 'cup', 'packaging', 'also', 'fine']",small sherbet coffee well mid sized cup water think ideal soft drink cup packaging also fine
Rabia nur Gündüz|13 Kasım 2021|LAV satıcısından alındı.,Bu fiyata 2 takım aldım ve gerçekten harika paketleme falan çok iyiydi çok teşekkürler çok memnun kaldım,"['iyipaketleme','ürüngüzel']",28,"I bought 2 teams for this price and it was really great packaging or something very good thanks, I was very pleased.","['good -up', 'Product']","['good -up', 'Product']","['bought', 'team', 'price', 'really', 'great', 'packaging', 'something', 'good', 'thanks', 'pleased']",bought team price really great packaging something good thanks pleased
B** Y**|12 Kasım 2021|LAV satıcısından alındı.,Harika paketleme lav kalitesini seviyorum ve satıcı Harika paketliyor bu Kasım indirim yoğunluğunda bile 4 gümde elime ulaştı düşünmeden alın şade ve şık sofralar için Harika boyutları da çok iyi,['iyipaketleme'],28,"Great packaging I love the lav quality and the seller is wonderful packaging, even in this November discount intensity, I have reached 4 silver without thinking.",['good -up'],['good -up'],"['great', 'packaging', 'love', 'lav', 'quality', 'seller', 'wonderful', 'packaging', 'even', 'november', 'discount', 'intensity', 'reached', 'silver', 'without', 'thinking']",great packaging love lav quality seller wonderful packaging even november discount intensity reached silver without thinking
A** A**|12 Kasım 2021|LAV satıcısından alındı.,Tek kelimeyle harika... Hızlı kargo ve paketleme de çok çok iyi bu yüzden kırık yoktu. teşekkür ederim,"['iyipaketleme','hızlıteslimat']",28,Simply wonderful ... Fast shipping and packaging is also very good so there was no broken. Thank you,"['good -up', 'Speedeslimat']","['good -up', 'Speedeslimat']","['simply', 'wonderful', 'fast', 'shipping', 'packaging', 'also', 'good', 'broken', 'thank']",simply wonderful fast shipping packaging also good broken thank
B** T**|11 Kasım 2021|Markam Burada satıcısından alındı.,Paketleme özenli ve güzeldi. 2 günde elime ulaştı. Ürünler de fena değil . Bu fiyata alınabilir. Ben beğendim,['iyipaketleme'],28,The packaging was careful and beautiful. I got it in 2 days. The products are not bad either. This price can be purchased. I liked it,['good -up'],['good -up'],"['packaging', 'careful', 'beautiful', 'got', 'day', 'product', 'bad', 'either', 'price', 'purchased', 'liked']",packaging careful beautiful got day product bad either price purchased liked
**** ****|11 Kasım 2021|LAV satıcısından alındı.,"Ürün hemen elime ulaştı, paketlenmesi de güzeldi en ufak bir çizik bile yok bardakların kaliteside güzel ince değil kaliteli duruyor","['iyipaketleme','kaliteliürün']",28,"The product reached me immediately, the packaging was nice, there is no scratch, the quality of the cups is not beautiful, it looks good quality.","['good -up', 'your quality']","['good -up', 'your quality']","['product', 'reached', 'immediately', 'packaging', 'nice', 'scratch', 'quality', 'cup', 'beautiful', 'look', 'good', 'quality']",product reached immediately packaging nice scratch quality cup beautiful look good quality
F** A**|10 Kasım 2021|LAV satıcısından alındı.,Çok iyi bir paketleme çok beğendim hiç kırık çıkmadı ve çok kaliteli duruyor fiyata göre bu takım çok iyi 😌,"['iyipaketleme','fiyatperformans']",28,"A very good packaging I liked it very much, it has never broken and it looks very high quality according to the price, this team is very good 😌","['good -up', 'Priceperformance']","['good -up', 'Priceperformance']","['good', 'packaging', 'liked', 'much', 'never', 'broken', 'look', 'high', 'quality', 'according', 'price', 'team', 'good']",good packaging liked much never broken look high quality according price team good
Gonca Gül ÖZCAN|10 Kasım 2021|LAV satıcısından alındı.,Misafir takımı olarak aldım günlük için de gayet uygun siz nasıl isterseniz.Paketleme de çok çok ozenliydi teşekkür ederim ilginiz için.Tek sorun kargo evime getirmedi gidip şubeden aldım o yüzden bir yıldız kiriyorum.,['iyipaketleme'],28,"I bought it as a guest team, it was very suitable for the diary.",['good -up'],['good -up'],"['bought', 'guest', 'team', 'suitable', 'diary']",bought guest team suitable diary
I** Ç**|5 Kasım 2021|LAV satıcısından alındı.,çekinerek sipariş vermiştim hiç kırık çatlak yoktu özenli paketleme ile elime ulaştı bardaklar çok güzel boyutları ideal memnun kaldım tavsiye ediyorum,"['iyipaketleme','ürüngüzel']",28,I had ordered it by hesitation.,"['good -up', 'Product']","['good -up', 'Product']","['ordered', 'hesitation']",ordered hesitation
**** ****|3 Kasım 2021|LAV satıcısından alındı.,Harika kalite ve 6 kişilik 2 takım aldım kırıksız eksiksiz dört dörtlük geldi helal olsun kutu içinde kutu ile geldi ve paketleme de özenliydi,['iyipaketleme'],28,Great quality and I bought 2 teams for 6 people.,['good -up'],['good -up'],"['great', 'quality', 'bought', 'team', 'people']",great quality bought team people
Cigdem Tunc-Elite Üye|31 Ekim 2021|LAV satıcısından alındı.,Kaç takım aldım sanırım 4 set çok guZel 1kutuda 1 adet kırık cikti oda nazar olsun dedim çünkü çok güzel paketlenmişti her şey için teşekkürler,['iyipaketleme'],28,How many teams I bought 4 sets very nice 1kutada 1 broken broken room I said get the evil eye because it was packaged very well thanks for everything,['good -up'],['good -up'],"['many', 'team', 'bought', 'set', 'nice', 'kutada', 'broken', 'broken', 'room', 'said', 'get', 'evil', 'eye', 'packaged', 'well', 'thanks', 'everything']",many team bought set nice kutada broken broken room said get evil eye packaged well thanks everything
N** B**|30 Ekim 2021|LAV satıcısından alındı.,Bayıldım aşırı güzel hepsi gönül rahatlığı ile alabilirsiniz çeyizim için aldım sorunsuz teslim aldım paketleme çok özenliydi çok teşekkür ederim,['iyipaketleme'],28,"I love it extremely beautiful, all you can get with peace of mind, I bought it for my dowry, I bought it without any problems, the packaging was very careful, thank you very much",['good -up'],['good -up'],"['love', 'extremely', 'beautiful', 'get', 'peace', 'mind', 'bought', 'dowry', 'bought', 'without', 'problem', 'packaging', 'careful', 'thank', 'much']",love extremely beautiful get peace mind bought dowry bought without problem packaging careful thank much
**** ****|30 Ekim 2021|LAV satıcısından alındı.,korkarak sipariş verdim ama inanılmaz güzel 1 tane bile kırık bişey yok o kadar güzel paketlenmişti taş düşse kırılmaz,['iyipaketleme'],28,"I ordered it with fear, but it was incredibly beautiful, there was nothing broken, it was so beautifully packaged.",['good -up'],['good -up'],"['ordered', 'fear', 'incredibly', 'beautiful', 'nothing', 'broken', 'beautifully', 'packaged']",ordered fear incredibly beautiful nothing broken beautifully packaged
Betül Erdogan|30 Ekim 2021|LAV satıcısından alındı.,yorumlara aldanmayın gayet güzel paketlenmisti hoc kirik yoktu tereddüt etmeden alabilirsiniz teşekkürler trendyol,['iyipaketleme'],28,"Don't be fooled by the comments, it was very well packaged.",['good -up'],['good -up'],"['fooled', 'comment', 'well', 'packaged']",fooled comment well packaged
T** d**|27 Ekim 2021|LAV satıcısından alındı.,ürünü bugün teslim aldım aynen görseldeki gördüğünüz gibi.gunluk kullanım için çok uygun paketleme harikaydı tek kırık bile yoktu firmaya teşekkür ederim,['iyipaketleme'],28,I bought the product today as you can see in the image.,['good -up'],['good -up'],"['bought', 'product', 'today', 'see', 'image']",bought product today see image
s** e**|26 Ekim 2021|LAV satıcısından alındı.,kargo 2 günde geldi bardaklar çok güzel paketleme muazzam çok beğendim kırılma cizilme yok teşekkürler,['iyipaketleme'],28,"Cargo came in 2 days, cups are very nice packaging, I liked it very much, no breakage, thanks",['good -up'],['good -up'],"['cargo', 'came', 'day', 'cup', 'nice', 'packaging', 'liked', 'much', 'breakage', 'thanks']",cargo came day cup nice packaging liked much breakage thanks
Y** B**|25 Ekim 2021|LAV satıcısından alındı.,"Ürünüm elime sorunsuz bir şekilde ulaştı.paketleme cok iyi yapilmis bazi yorumları okurken endiselenmistim ama cok sukur kiriksiz defosuz bir şekilde geldi bardaklarım.Kesinlikle alın,aldırın cevrenizdekilere.",['iyipaketleme'],28,"My product has reached my hand smoothly. Paileting was very well done while reading some of the comments, but very sukur cultivation came in a defoless way.",['good -up'],['good -up'],"['product', 'reached', 'hand', 'smoothly', 'paileting', 'well', 'done', 'reading', 'comment', 'sukur', 'cultivation', 'came', 'defoless', 'way']",product reached hand smoothly paileting well done reading comment sukur cultivation came defoless way
**** ****|25 Ekim 2021|LAV satıcısından alındı.,Gerçekten çok güzel be kaliteli paketleme de güzeldi hiç kırık yok bardak boyutları ideal büyüklükte TEŞEKKÜRLER❤️,"['iyipaketleme','ürüngüzel']",28,"Really nice, good quality packaging was also nice, no broken glass sizes are ideal size thanks❤️","['good -up', 'Product']","['good -up', 'Product']","['really', 'nice', 'good', 'quality', 'packaging', 'also', 'nice', 'broken', 'glass', 'size', 'ideal', 'size', 'thanks']",really nice good quality packaging also nice broken glass size ideal size thanks
N** B**|25 Ekim 2021|LAV satıcısından alındı.,Çok şık bi ürün çok beğendim keyifle kullancam özenli paketleme hızlı teslimat için de ayrıca teşekkürler:),['iyipaketleme'],28,"I like a very stylish product very much, I will use it with pleasure, thank you for fast delivery attentive packaging :)",['good -up'],['good -up'],"['like', 'stylish', 'product', 'much', 'use', 'pleasure', 'thank', 'fast', 'delivery', 'attentive', 'packaging']",like stylish product much use pleasure thank fast delivery attentive packaging
e** e**-Elite Üye|24 Ekim 2021|LAV satıcısından alındı.,"Resimdekinden 10 kat daha güzel duruyor , eksiksiz ve kırık vs olmadan geldi. Paketleme çok özenliydi , Bu fiyata bu kalite şiddetle tavsiye ediyorum!♥️","['iyipaketleme','fiyatperformans','şıkduruyor']",28,"It looks 10 times more beautiful than the picture, it came without complete and broken, etc. The packaging was very careful, I strongly recommend this quality at this price! ♥ ️","['good -up', 'Priceperformance', 'makes it stylish']","['good -up', 'Priceperformance', 'makes it stylish']","['look', 'time', 'beautiful', 'picture', 'came', 'without', 'complete', 'broken', 'etc', 'packaging', 'careful', 'strongly', 'recommend', 'quality', 'price']",look time beautiful picture came without complete broken etc packaging careful strongly recommend quality price
**** ****|23 Ekim 2021|LAV satıcısından alındı.,arkadaşlar ben çeyizim için aldım harika paketleme hız ürün kalitesi mükemmel kesinlikle gözün kapalı güvenin bir tane bile kırık çıkmadı,['iyipaketleme'],28,"Friends I bought it for my dowry, wonderful packaging speed product quality excellent, your eye is absolutely closed trust, even one broken",['good -up'],['good -up'],"['friend', 'bought', 'dowry', 'wonderful', 'packaging', 'speed', 'product', 'quality', 'excellent', 'eye', 'absolutely', 'closed', 'trust', 'even', 'one', 'broken']",friend bought dowry wonderful packaging speed product quality excellent eye absolutely closed trust even one broken
çiğdem çıldır-Elite Üye|23 Ekim 2021|LAV satıcısından alındı.,indirimdeyken aldım harika gerçekten özenli paketleme içinde ayrıca teşekkür ederim 🙏 hakkını vermişsiniz gerçekten bol kazançlar,['iyipaketleme'],28,"I bought it when I was on a discount, it is really really attentive packaging, thank you in the packaging 🙏 You gave its right really plenty of gains",['good -up'],['good -up'],"['bought', 'discount', 'really', 'really', 'attentive', 'packaging', 'thank', 'packaging', 'gave', 'right', 'really', 'plenty', 'gain']",bought discount really really attentive packaging thank packaging gave right really plenty gain
**** ****|23 Ekim 2021|LAV satıcısından alındı.,bardaklar çok güzel anneme hediye aldım. paketleme iyi değildi fakat sorunsuz geldi. teşekkürler. 1 yıldızı paketlemenin iyi olmamasından kiriyorum,['iyipaketleme'],28,"I bought a gift to my mother's beautiful mother. The packaging was not good, but it came smoothly. thanks. I break 1 star because packaging is not good",['good -up'],['good -up'],"['bought', 'gift', 'mother', 'beautiful', 'mother', 'packaging', 'good', 'came', 'smoothly', 'thanks', 'break', 'star', 'packaging', 'good']",bought gift mother beautiful mother packaging good came smoothly thanks break star packaging good
**** ****|24 Ekim 2021|LAV satıcısından alındı.,ürün resimde görünenin birebir aynısı çok şık normal su bardağını 3 bardağın yanına koyarak çektim tereddütte kalanlar için paketlenmesi çok ozenliydi bunun için ayrıca çok teşekkür ederim ve 3 gün içerisinde elime ulaştı hızlı teslimat ve özenli paketleme için teşekkür ederim lav ailesi ben çok memnun kaldım,"['iyipaketleme','ürüngüzel','hızlıteslimat']",28,"The product is the same as the same as the same as the same as the normal normal cup by putting it next to the 3 glasses I pulled it for the packed for those who hesitate, thank you very much for this and I reached my hand in 3 days for fast delivery and careful packaging thank you LAV family I was very pleased.","['good -up', 'Product', 'Speedeslimat']","['good -up', 'Product', 'Speedeslimat']","['product', 'normal', 'normal', 'cup', 'putting', 'next', 'glass', 'pulled', 'packed', 'hesitate', 'thank', 'much', 'reached', 'hand', 'day', 'fast', 'delivery', 'careful', 'packaging', 'thank', 'lav', 'family', 'pleased']",product normal normal cup putting next glass pulled packed hesitate thank much reached hand day fast delivery careful packaging thank lav family pleased
N** E**|22 Ekim 2021|LAV satıcısından alındı.,hiç bir sıkıntı yaşamadım kullanıyoruz şu anda çok şık duruyor bayıldım kargolama paketleme çok güzel düşünmeden alın.,"['iyipaketleme','şıkduruyor']",28,"We have not experienced any problems, we are using it very stylish right now I love the shipping packaging very well without thinking.","['good -up', 'makes it stylish']","['good -up', 'makes it stylish']","['experienced', 'problem', 'using', 'stylish', 'right', 'love', 'shipping', 'packaging', 'well', 'without', 'thinking']",experienced problem using stylish right love shipping packaging well without thinking
**** ****|21 Ekim 2021|LAV satıcısından alındı.,"Ürün çok kaliteli, paketleme gayet başarılı, tam, eksiksiz ve sağlam şekilde teslim aldım, satıcıya hayırlı satışlar diliyorum…","['iyipaketleme','kaliteliürün']",28,"The product is very high quality, the packaging is very successful, full, complete and intact, I have delivered, I wish good sales to the seller…","['good -up', 'your quality']","['good -up', 'your quality']","['product', 'high', 'quality', 'packaging', 'successful', 'full', 'complete', 'intact', 'delivered', 'wish', 'good', 'sale', 'seller']",product high quality packaging successful full complete intact delivered wish good sale seller
A** K**|20 Ekim 2021|LAV satıcısından alındı.,Çeyizim için indirimdeyken aldım. 12’li olması için 2 adet aldım. Paketleme güzeldi çok şükür kırılmadan elime ulaştı🙏🏻 Çok şık bir ürün 👍🏼 Herkese tavsiye ederim. Teşekkürler🥰,['iyipaketleme'],28,"I bought it when I was on a discount for my dowry. I bought 2 pieces to be 12. Packaging was nice, thank God it reached my hand without breaking - a very stylish product 👍🏼 I recommend it to everyone. Thanks🥰",['good -up'],['good -up'],"['bought', 'discount', 'dowry', 'bought', 'piece', 'packaging', 'nice', 'thank', 'god', 'reached', 'hand', 'without', 'breaking', 'stylish', 'product', 'recommend', 'everyone', 'thanks']",bought discount dowry bought piece packaging nice thank god reached hand without breaking stylish product recommend everyone thanks
HİLAL YILDIZ|20 Ekim 2021|LAV satıcısından alındı.,"Çeyizim için aldım. Sipariş verir vermez işleme alınıp kargolandı oldukça hızlıydı açıkcası teşekkür ediyorum. Kırık yok, sağlam paketleme..",['iyipaketleme'],28,"I bought it for my dowry. As soon as he ordered, I was quite fast, thank you. No fractures, solid packaging ..",['good -up'],['good -up'],"['bought', 'dowry', 'soon', 'ordered', 'quite', 'fast', 'thank', 'fracture', 'solid', 'packaging']",bought dowry soon ordered quite fast thank fracture solid packaging
**** ****|20 Ekim 2021|Markam Burada satıcısından alındı.,Ürünler göründüğü gibi özenle paketlenmiş kırık gelir diye korktum lakin hiç bir sorun yok teşekkürler ⭐⭐⭐⭐⭐,['iyipaketleme'],28,"I was afraid that the products would come with careful fractures as they look, but there is no problem thanks ⭐⭐⭐⭐⭐",['good -up'],['good -up'],"['afraid', 'product', 'would', 'come', 'careful', 'fracture', 'look', 'problem', 'thanks']",afraid product would come careful fracture look problem thanks
M** K**|20 Ekim 2021|LAV satıcısından alındı.,ürünler gayet güzel paketlenmiş bir şekilde geldi. sadece bir tanesinin ufak bı çatlağı vardı. Geri gönderim yapılacağını söylediler . bence fiyatına göre gayet güzel ve şık. Satıcı da oldukça ilgili ve kargo oldukça hızlıydi. herşey için teşekkürler:),['iyipaketleme'],28,The products came very well packaged. Only one had a little crack. They said it would be referred to. I think it's fine and stylish for the price. The seller was also quite interested and the cargo was quite fast. Thanks for everything :),['good -up'],['good -up'],"['product', 'came', 'well', 'packaged', 'one', 'little', 'crack', 'said', 'would', 'referred', 'think', 'fine', 'stylish', 'price', 'seller', 'also', 'quite', 'interested', 'cargo', 'quite', 'fast', 'thanks', 'everything']",product came well packaged one little crack said would referred think fine stylish price seller also quite interested cargo quite fast thanks everything
**** ****|20 Ekim 2021|LAV satıcısından alındı.,Paketlemesi çok güzeldi. Ailecek günlük kullandığımız şık bardaklar. En küçük boyları kahve yanı bardağı olarak da kullanılabilir,['iyipaketleme'],28,It was very nice to pack. Family stylish glasses we use daily. The smallest size can be used as a cup as well as coffee,['good -up'],['good -up'],"['nice', 'pack', 'family', 'stylish', 'glass', 'use', 'daily', 'smallest', 'size', 'used', 'cup', 'well', 'coffee']",nice pack family stylish glass use daily smallest size used cup well coffee
Y** i**|20 Ekim 2021|LAV satıcısından alındı.,Ürünler kaliteli ve cok güzel paketlenmişti gönül rahatlığıyla alabikirsiniz elinizie emeğinize sağlık.,"['iyipaketleme','kaliteliürün']",28,The products were quality and very well packaged with peace of mind.,"['good -up', 'your quality']","['good -up', 'your quality']","['product', 'quality', 'well', 'packaged', 'peace', 'mind']",product quality well packaged peace mind
M** k**|20 Ekim 2021|LAV satıcısından alındı.,bardak takımı gayet şahane çok memnun kaldım fiyatı da çok uygun almıştım tavsiye ederim İnci diye tereddütte kalmıştım ama gayet iyi kalın paketleme çok iyi sağlam geldi,"['iyipaketleme','ürüngüzel','sağlamgeldi']",28,"I was very pleased with the cup set, I was very satisfied with the price very appropriate, I recommend it, I was hesitant as pearl, but it was very good thick packaging was very good","['good -up', 'Product', 'firmly']","['good -up', 'Product', 'firmly']","['pleased', 'cup', 'set', 'satisfied', 'price', 'appropriate', 'recommend', 'hesitant', 'pearl', 'good', 'thick', 'packaging', 'good']",pleased cup set satisfied price appropriate recommend hesitant pearl good thick packaging good
